Voltage [V]	V2	sw	M	UHF	HF	Frequency
1001	1.00E+06	F	1	935.7122	3.2997	24331.8169
1001	1.00E+06	B	1	935.7008	3.1971	24331.4179
902	8.14E+05	F	1	935.6801	3.0947	24330.7773
902	8.14E+05	B	1	935.667	2.7814	24330.1234
800	6.40E+05	F	1	935.6468	2.9214	24329.7382
800	6.40E+05	B	1	935.6405	3.4986	24330.1516
701	4.91E+05	F	1	935.6008	3.7389	24329.3597
701	4.91E+05	B	1	935.5803	3.6039	24328.6917
601.5	3.62E+05	F	1	935.5801	3.2613	24328.3439
601.5	3.62E+05	B	1	935.5681	3.1358	24327.9064
500	2.50E+05	F	1	935.5644	2.7869	24327.4613
500	2.50E+05	B	1	935.5598	2.7111	24327.2659
400.5	1.60E+05	F	1	935.5694	2.2027	24327.0071
400.5	1.60E+05	B	1	935.561	2.1673	24326.7533
300	9.00E+04	F	1	935.6224	1.901	24328.0834
300	9.00E+04	B	1	935.59	1.7794	24327.1194
194	3.76E+04	F	1	935.5497	2.1809	24326.4731
194	3.76E+04	B	1	935.5424	2.0816	24326.184
1001	1.00E+06	F	0	935.2154	3.4675	24319.0679
1001	1.00E+06	B	0	935.2055	3.3946	24318.7376
902	8.14E+05	F	0	935.3488	2.3242	24321.393
902	8.14E+05	B	0	935.2997	2.3498	24320.142
800	6.40E+05	F	0	935.416	3.5131	24324.3291
800	6.40E+05	B	0	935.3094	3.4776	24321.522
701	4.91E+05	F	0	935.3733	3.2942	24323
701	4.91E+05	B	0	935.3488	3.3254	24322.3942
601.5	3.62E+05	F	0	935.4224	2.7959	24323.7783
601.5	3.62E+05	B	0	935.4076	2.6494	24323.247
500	2.50E+05	F	0	935.4582	2.4592	24324.3724
500	2.50E+05	B	0	935.4834	2.2552	24324.8236
400.5	1.60E+05	F	0	935.544	1.8568	24326.0008
400.5	1.60E+05	B	0	935.4963	1.7361	24324.6399
300	9.00E+04	F	0	935.5271	1.6527	24325.3573
300	9.00E+04	B	0	935.5255	1.4633	24325.1263
194	3.76E+04	F	0	935.657	1.9264	24329.0084
194	3.76E+04	B	0	935.5228	1.8686	24325.4614
